Facility ID,Facility Type,License Number,Licensed Facility Name,Address,Address 2,City,State,Zip Code,County,Telephone,Fax,Email,License Expiration Date,Licensed Owner,Owner Address,Owner City/State/Zip,Owner Description,Administrator,Title,Hospital Bed Total,Georeference
NJ90080,SURGICAL PRACTICE,R24601,TRI-STATE SURGERY CENTER LLC,3 WINSLOW PLACE,,PARAMUS,NJ,07652,BERGEN,(201) 546-1890,(201) 546-1893,drg@gartnerplasticsurgery.com,08/31/2021,TRI-STATE SURGERY CENTER,3 WINSLOW PLACE,"PARAMUS, NJ  07652",Profit - Corporation,Dr. MICHAEL GARTNER,,,POINT (-74.07118985199997 40.92258487300006)
NJ24893,END STAGE RENAL DIALYSIS,24893,JERSEY CITY GRAND HOME DIALYSIS,422 GRAND STREET,,JERSEY CITY,NJ,07302,HUDSON,(201) 332-6413,(201) 536-8093,steve.garcia@Davita.com,09/30/2021,"PERSHING DIALYSIS, L.L.C.",2000 16TH STREET,"DENVER, CO  8002",Profit - LLC,Mr. STEVE GARCIA,,,POINT (-74.05373857099994 40.71718160000006)
311850,FEDERALLY QUALIFIED HEALTH CENTERS,22387,NORTH HUDSON CAC HEALTH CENTER AT NORTH BERGEN,1116 43RD STREET,,NORTH BERGEN,NJ,07047,HUDSON,(201) 583-6822,(201) 392-8090,vveneruso@nhcac.org,11/30/2021,NORTH HUDSON COMMUNITY ACTION CORPORATION,800 31ST STREET,"UNION CITY, NJ  07087",Non-Profit - Corporation,Ms. JOAN QUIGLEY,,,POINT (-74.02668100499994 40.780094993000034)
NJ80330,AMBULATORY CARE FACILITY,80330,THE IMAGING CENTER AT NEWMAN STREET,30 SOUTH NEWMAN STREET,,HACKENSACK,NJ,07601,BERGEN,(201) 488-1188,(201) 488-5244,donelting@hrgimaging.com,10/31/2021,"HACKENSACK RADIOLOGY GROUP, PA",130 KINDERKAMACK ROAD,"RIVER EDGE, NJ  07661",,Mr. DONALD ELTING,,,POINT (-74.05320503499998 40.87883498600007)
NJ25153,AMBULATORY CARE FACILITY,25153,"PRINCETON RADIOLOGY ASSOCIATES, PA","9 CENTRE DRIVE, SUITE 115",,JAMESBURG,NJ,08831,MIDDLESEX,(609) 655-1448,,,11/30/2019,"PRINCETON RADIOLOGY ASSOCIATES, PA","619 ALEXANDER ROAD, STE 203","PRINCETON, NJ  08540",Profit - Partnership,Dr. JONATHAN LEBOWITZ,M.D.,,POINT (-74.46187402799995 40.339925005000055)
NJ1074,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1074,MORRISTOWN MEDICAL CENTER RADIOLOGY AT 111 MADISON AVENUE,111 MADISON AVENUE,,MORRISTOWN,NJ,07960,MORRIS,(877) 310-7226,(973) 290-7294,anna.pence@atlantichealth.org,04/30/2021,MORRISTOWN MEDICAL CENTER,100 MADISON AVENUE,"MORRISTOWN, NJ  07962",Non-Profit - Other,Dr. PATRICIA O'KEEFE,,,POINT (-74.46223897599998 40.787571986000046)
22936,COMPREHENSIVE OUTPATIENT REHAB,22936,"THERAPRO-CORF, L.L.C.",600 PAVONIA AVENUE - 7TH FLOOR,,JERSEY CITY,NJ,07306,HUDSON,(201) 418-0088,(201) 418-9420,cmsss@me.com,02/28/2022,"THERAPRO-CORF, L.L.C.",9225 KENNEDY BOULEVARD,"NORTH BERGEN, NJ  07047",,Dr. RAVI TIKOO,,,POINT (-74.06032998799998 40.73296200100003)
NJ310022,GENERAL ACUTE CARE HOSPITAL,10405,VIRTUA - WEST JERSEY HOSPITAL VOORHEES,100 BOWMAN DRIVE,,VOORHEES,NJ,08043,CAMDEN,(856) 247-3000,(856) 247-3219,pminnick@virtua.org,04/30/2021,VIRTUA WEST JERSEY HEALTH SYSTEM,303 LIPPINCOTT DRIVE,"MARLTON, NJ  08053",Non-Profit - Hospital,Mr. DENNIS PULLIN,,402,POINT (-74.92713201599997 39.84175899500008)
NJR24645,SURGICAL PRACTICE,R24645,"JAMES F MCGUCKIN MD OF NJ, PA","1450 PARKSIDE AVENUE, UNIT 18",,TRENTON,NJ,08638,MERCER,(609) 882-1770,(609) 882-8406,JMCGUCKIN@VASCULARCENTERS.COM,03/31/2020,JAMES F MC GUCKIN MD OF NJ PA 1,"4622 BLACK HORSE PIKE, SUITE 102","MAYS LANDING, NJ  08330",Profit - Individual,Ms. JUDEANNE PAK,R.N.,,POINT (-74.77010881499996 40.250690054000074)
NJ31C0001134,AMBULATORY SURGICAL CENTER,R24555,"PREMIER SURGICAL CENTER, L.L.C.","10000 LINCOLN DRIVE EAST, SUITE 301",,MARLTON,NJ,08053,BURLINGTON,(856) 797-8333,(856) 797-9688,marolyn@premiersurgicalcenter.com,03/31/2022,"PREMIER SURGICAL CENTER, L.L.C.","ONE GREENTREE CENTER, SUITE 301","MARLTON, NJ  08053",Profit - LLC,. SUNNEZA MATULLO,,,POINT (-74.93925501399997 39.90954499700007)
NJR24639,SURGICAL PRACTICE,R24639,"WOMENS CHOICE OF HACKENSACK, PA",10 ZABRISKIE STREET,,HACKENSACK,NJ,07601,BERGEN,(201) 489-2266,(201) 480-0003,WOMENCHOICE10@GMAIL.COM,05/31/2021,"WOMENS CHOICE OF HACKENSACK, P.C.",10 ZABRISKIE STREET,"HACKENSACK, NJ  07601",Profit - Corporation,Ms. SUSAN MARTINELLI,,,POINT (-74.04123796399995 40.907912011000064)
NJ1388,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1388,EAST ORANGE GENERAL HOSPITAL-HEMODIALYSIS,310 CENTRAL AVENUE,,EAST ORANGE,NJ,07018,ESSEX,(973) 266-4401,(973) 266-8488,Paige. Dworak@eogh.org,08/31/2021,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVENUE,"EAST ORANGE, NJ  07018",Profit - Corporation,Ms. PAIGE DWORAK,,,POINT (-74.21454300799996 40.75507798700005)
NJ24293,AMBULATORY CARE FACILITY,24293,UNIVERSITY RADIOLOGY AT ROBERT WOOD JOHNSON LLC,10 PLUM STREET,,NEW BRUNSWICK,NJ,08901,MIDDLESEX,(732) 249-4410,(732) 249-1208,linda.white@univrad.com,02/28/2022,"UNIVERSITY RADIOLOGY AT ROBERT WOOD JOHNSON, LLC",10 PLUM STREET,"NEW BRUNSWICK, NJ  08901",Profit - LLC,Ms. LINDA WHITE,R.N.,,POINT (-74.45186301799998 40.49379902000004)
NJ22383,AMBULATORY CARE FACILITY,22383,BELLMAWR REGIONAL HEALTH CENTER,35 EAST BROWNING ROAD,,BELLMAWR,NJ,08031,CAMDEN,(856) 931-2700,(856) 931-6970,paschal-nwako@camdencounty.com,03/31/2022,CAMDEN COUNTY BOARD OF CHOSEN FREEHOLDERS,"COURT HSE, 520 MARKET ST.","CAMDEN, NJ  08102",Govt - County,Dr. PASCHAL NWAKO,,,POINT (-75.07800590999994 39.86656967600005)
NJ24454,HOSPICE CARE PROGRAM,24454,SERENITY HOSPICE CARE,56 GEORGETOWN ROAD,,BORDENTOWN,NJ,08505,BURLINGTON,(609) 227-2400,(609) 284-4218,admin@serenityhospicenj.com,09/30/2021,"SERENITY HOSPICE CARE, L.L.C.",56 GEORGETOWN ROAD,"BORDENTOWN, NJ  08505",Profit - LLC,Ms. CAROL BLAIR,R.N.,,POINT (-74.69431047399996 40.12976093200007)
NJ1441,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1441,MERIDIAN REHAB OUTPATIENT THERAPY AT MANAHAWKIN,56 NAUTILUS DRIVE,,MANAHAWKIN,NJ,08050,OCEAN,(609) 978-3110,(609) 978-8985,Michele.Morrison@hmhn.org,11/30/2021,HMH HOSPITALS CORPORATION,343 THORNALL STREET 8TH FL,"EDISON, NJ  08837",Non-Profit - Hospital,Ms. JOSEPHINE DOUGLAS,,,POINT (-74.28365498499994 39.720364017000065)
NJ25078,AMBULATORY CARE FACILITY,25078,ATLANTIC MEDICAL IMAGING-BHP OFFICE,6529 BLACK HORSE PIKE,,EGG HARBOR TOWNSHIP,NJ,08234,ATLANTIC,(609) 646-6102,(609) 646-5469,jgorgol@aminj.com,12/31/2021,ATLANTIC MEDICAL IMAGING,"72 W JIMMIE LEEDS RD, SUITE 1100","GALLOWAY, NJ  08205",Profit - Corporation,. PAT SMITH,,,POINT (-74.58344598999997 39.418489984000075)
NJ24812,END STAGE RENAL DIALYSIS,24812,WALL TOWNSHIP HOME TRAINING CENTER,"5100 BELMAR BOULEVARD, SUITE 1",,WALL,NJ,07719,MONMOUTH,(732) 938-2780,(732) 938-2654,danielle.defazio@davita.com,09/30/2021,"GANOIS DIALYSIS, L.L.C.",2000 16TH STREET,"DENVER, CO  80202",Profit - Corporation,Ms. DANIELLE DEFAZIO,,,POINT (-74.06316953399994 40.176289687000065)
NJR24619,SURGICAL PRACTICE,R24619,"GARDEN STATE SURGERY CENTER, LLC",29 PARK STREET,,MONTCLAIR,NJ,07042,ESSEX,(973) 509-2000,(973) 655-1228,swilson@njpsmd.com,04/30/2021,"GARDEN STATE SURGERY CENTER, LLC",29 PARK STREET,"MONTCLAIR, NJ  07042",Profit - LLC,Ms. SHIRLEE WILSON,,,POINT (-74.21794698299993 40.815880984000046)
NJ24756-2,AMBULATORY SURGICAL CENTER,24756,RIVERSIDE SURGICAL CENTER OF RUTHERFORD,"201 ROUTE 17 NORTH, 12TH FLOOR",,RUTHERFORD,NJ,07070,BERGEN,(201) 806-2678,,DENISE.ACUNA@SCASURGERY.COM,05/31/2021,"RIVERSIDE SURGICAL CENTER OF MEADOWLANDS, LLC","201 ROUTE 17 NORTH, 12TH FL","RUTHERFORD, NJ  07070",,. JORDAN ANDERSON,,,POINT (-74.10172966499994 40.81865025800005)
NJ24873,END STAGE RENAL DIALYSIS,24873,DIALYSIS PALISADES MEDICAL CENTER,"7650 RIVER ROAD, SUITE 150",,NORTH BERGEN,NJ,07047,HUDSON,(201) 861-1031,(201) 758-2794,jeffrey.viaud@davita.com,10/31/2021,"NORTE DIALYSIS, L.L.C.",2000 16TH STREET,"DENVER, CO  80202",Profit - LLC,. JEFFREY VIAUD,,,POINT (-73.997101237 40.79449448100007)
NJ1248,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1248,"SPORTS MEDICINE INSTITUTE AT SPUH, THE",562 EASTON AVENUE,,SOMERSET,NJ,08873,SOMERSET,(732) 745-8600,(732) 745-7938,lhirsch@saintpetersuh.com,03/31/2021,SAINT PETER'S UNIVERSITY HOSPITAL,254 EASTON AVENUE,"NEW BRUNSWICK, NJ  08901",Non-Profit - Religious Affiliation,Mr. LESLIE HIRSCH,,,POINT (-74.46927854199998 40.50571693200004)
311854,FEDERALLY QUALIFIED HEALTH CENTERS,22382,"NEWARK COMMUNITY HEALTH CENTERS, INC",751 BROADWAY,,NEWARK,NJ,07104,ESSEX,(973) 483-1300,(973) 266-9945,celuwa@nchcfqhc.org,10/31/2020,"NEWARK COMMUNITY HEALTH CENTERS, INC",741 BROADWAY,"NEWARK, NJ  07104",Non-Profit - Other,Dr. PAMELA CLARKE,,,POINT (-74.15858500399997 40.775511014000074)
NJ31C0001024,AMBULATORY SURGICAL CENTER,R24542,NORTHERN NJ EYE INSTITUTE,71 SECOND STREET,,SOUTH ORANGE,NJ,07079,ESSEX,(973) 763-2203,(973) 762-9449,domara@nnjei.com,12/31/2021,"NORTHERN NEW JERSEY EYE INSTITUTE, PA",71 SECOND STREET,"SOUTH ORANGE, NJ  07079",Profit - Corporation,Ms. SHIRLEY VITALE,,,POINT (-74.25902903699995 40.744004990000064)
NJ22336,END STAGE RENAL DIALYSIS,22336,DELRAN DIALYSIS,8008 ROUTE 130 NORTH,,DELRAN,NJ,08075,BURLINGTON,(856) 764-0800,(856) 764-0917,emily.midure@davita.com,09/30/2021,"DVA RENAL HEALTHCARE, INC.",2000 16TH STREET,"DENVER, CO  80202",,Ms. EMILY MIDURE,,,POINT (-74.93924421299994 40.02348155000004)
NJR24378,SURGICAL PRACTICE,R24378,"JAMES F MC GUCKIN MD OF NJ, PA","4622 BLACK HORSE PIKE, SUITE 102",,MAYS LANDING,NJ,08330,ATLANTIC,(609) 829-3285,(609) 828-3291,mthompson@vascularcenters.com,07/31/2021,JAMES F MC GUCKIN MD OF NJ PA 1,"4622 BLACK HORSE PIKE, SUITE 102","MAYS LANDING, NJ  08330",Profit - Individual,Ms. JUDEANNE PAK,R.N.,,POINT (-74.65380703799997 39.454087005000076)
NJR24491,SURGICAL PRACTICE,R24491,PRINCETON ORTHOPAEDIC ASSOCIATES,3055 ROUTE 27,,FRANKLIN PARK,NJ,08823,SOMERSET,(732) 422-9600,(888) 840-8232,dr.perry@perryplasticsurgery.com,06/30/2020,"PRINCETON ORTHOPAEDIC ASSOCIATES II, P.A.",325 PRINCETON AVENUE,"PRINCETON, NJ  08540",Profit - Partnership,Mr. WILLIAM HYNCIK,,,POINT (-74.53669399699999 40.43833399700003)
NJ90067,SURGICAL PRACTICE,R24520,CHESTER SURGERY CENTER PC,"385 ROUTE 24, SUITE 3 K",,CHESTER,NJ,07930,MORRIS,(908) 879-2222,(908) 879-8993,lwplastics@aol.com,07/31/2021,CHESTER SURGERY CENTER PC,"385 ROUTE 24, SUITE 3K","CHESTER, NJ  07930",Profit - Corporation,Dr. LARRY WEINSTEIN,M.D.,,POINT (-74.66804998699996 40.780622005000055)
311849,FEDERALLY QUALIFIED HEALTH CENTERS,22448,NORTH HUDSON CAC HEALTH CENTER AT UNION CITY,714-31 STREET,,UNION CITY,NJ,07087,HUDSON,(201) 863-7077,(201) 863-2508,vveneruso@nhcac.org,06/30/2021,NORTH HUDSON COMMUNITY ACTION CORPORATION,800 31ST STREET,"UNION CITY, NJ  07087",Non-Profit - Corporation,Ms. JOAN QUIGLEY,,,POINT (-74.03184702299995 40.772814011000044)
NJ21955,AMBULATORY SURGICAL CENTER,21955,THE GREGORI SURGERY CENTER,101 OLD SHORT HILLS ROAD,,WEST ORANGE,NJ,07052,ESSEX,(973) 322-6373,(973) 322-6633,Danielle.Osborne@amsurg.com,05/31/2021,"WEST ORANGE ASC, LLC",1A BURTON HILLS BOULEVARD,"NASHVILLE, TN  37215",Profit - LLC,Ms. DANIELLE OSBORNE,,,POINT (-74.30219801799996 40.76201401200007)
NJ50310,PSYCHIATRIC HOSPITAL,50310,HAMPTON BEHAVIORAL HEALTH CENTER,650 RANCOCAS ROAD,,WESTAMPTON,NJ,08060,BURLINGTON,(609) 267-7000,(609) 518-2150,joanne.wijaya@uhsinc.com,08/31/2021,"UHS OF HAMPTON, INC","367 SOUTH GULPH ROAD, PO BOX 61558","KING OF PRUSSIA, PA  19406",Profit - Corporation,Mr. CRAIG HILTON,,120,POINT (-74.84201756299996 40.00931705700003)
22992,END STAGE RENAL DIALYSIS,23253,RENAL CENTER OF NEWARK,571 CENTRAL AVENUE,,NEWARK,NJ,07107,ESSEX,(973) 484-4994,(973) 484-4434,robert.pierre@davita.com,08/31/2021,"KIDNEY LIFE, LLC",2000 16TH STREET,"DENVER, CO  08202",Profit - Corporation,Mr. ROBERT PIERRE,,,POINT (-74.19773201199996 40.74980401000005)
NJ317060,HOME HEALTH AGENCY,70705,PATIENT CARE,"300 EXECUTIVE DRIVE, SUITE 010",,WEST ORANGE,NJ,07052,ESSEX,(973) 243-6299,(973) 325-9277,lra@lhcgroup.com,06/30/2021,"PATIENT CARE MEDICAL SERVICES, INC.",901 HUGH WALLIS ROAD S,"LAFAYETTE, KY  70508",,Ms. CAROL WEIR,,,POINT (-74.26133799999997 40.796503993000044)
NJ24950,END STAGE RENAL DIALYSIS,24950,FRESENIUS MEDICAL CARE VINELAND,1206 SHERMAN AVENUE,,VINELAND,NJ,08360,CUMBERLAND,(856) 794-3273,(856) 794-3491,andrea.spagnolo1@fmc-na.com,07/31/2021,"FRESENIUS MEDICAL CARE VINELAND, LLC",920 WINTER STREET,"WALTHAM, MA  02451",Profit - LLC,Mr. JOSEPH BONE,,,POINT (-75.05177401699996 39.448474985000075)
NJR24641,AMBULATORY SURGICAL CENTER,R24641,"CENTER FOR SAME DAY SURGERY, LLC","2 DEAN DRIVE, SUITE 3N",,TENAFLY,NJ,07670,BERGEN,(201) 567-4477,(201) 567-5444,centerforsamedaysurgerynj@yahoo.com,05/31/2021,"CENTER FOR SAME DAY SURGERY, LLC","2 DEAN DRIVE, SUITE 3N","TENAFLY, NJ  07670",Profit - LLC,Dr. MANGLAM NARAYANAB,,,POINT (-73.96751801199997 40.91145500600004)
NJ24970,AMBULATORY CARE FACILITY,24970,OUR BIRTHING CENTER,"25 LINDSLEY DRIVE, SUITE 120",,MORRISTOWN,NJ,07960,MORRIS,(732) 370-5627,(646) 403-4796,mstern@ourbirthingcenter.com,12/31/2021,"OUR BIRTHING CENTER, LLC",25 LINDSLEY DRIVE,"MORRISTOWN, NJ  07960",Profit - LLC,Mr. MARC STERN,,,POINT (-74.46095000699995 40.800367003000076)
NJ1505,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1505,234 BUILDING,234 HAMBURG TURNPIKE,,WAYNE,NJ,07470,PASSAIC,(973) 754-2002,(973) 754-2009,,10/31/2021,ST. JOSEPH'S UNIVERSITY MEDICAL CENTER,703 MAIN STREET,"PATERSON, NJ  07503",,Mr. KEVIN SLAVIN,,,POINT (-74.20541514099995 40.94620934000005)
NJ31C0001099,AMBULATORY SURGICAL CENTER,22372,"SHORE OUTPATIENT SURGICENTER, LLC",360 ROUTE 70,,LAKEWOOD,NJ,08701,OCEAN,(732) 942-9835,(732) 942-7496,NMACE@USPI.COM,11/30/2021,"SHORE OUTPATIENT SURGICENTER, L.L.C.",360 ROUTE 70,"LAKEWOOD, NJ  08701",Profit - LLC,Ms. PATRICIA MOORE,,,POINT (-74.20411010999999 40.04934913500006)
NJ24791,END STAGE RENAL DIALYSIS,24791,MILLBURN DIALYSIS CENTER,"25 EAST WILLOW STREET, SUITE 2",,MILLBURN,NJ,07041,ESSEX,(973) 379-7309,(973) 379-5175,ling.chang@davita.com,08/31/2021,"REDCLIFF DIALYSIS, L.L.C.",2000 16TH STREET,"DENVER, CO  80202",Profit - LLC,. CHIAO LIU,,,POINT (-74.30539103499996 40.71694586800004)
NJ1242,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1242,JFK MEDICAL CENTER-MUHLENBERG CAMPUS,PARK AVENUE AND RANDOLPH ROAD,,PLAINFIELD,NJ,07061,UNION,(732) 321-7000,(732) 549-8532,Todd.Way@hackensackmeridian.org,04/30/2021,"THE COMMUNITY HOSPITAL GROUP, INC JFK MEDICAL CTR",65 JAMES STREET,"EDISON, NJ  08820",Non-Profit - Hospital,. AMIE THORNTON,,,POINT (-74.40562994899994 40.60735004500003)
NJ24204,AMBULATORY SURGICAL CENTER,24204,SURGICARE SURGICAL ASSOCIATES OF WAYNE LLC,246 HAMBURG TURNPIKE,,WAYNE,NJ,07470,PASSAIC,(973) 790-0954,(973) 790-0848,lmagnifico@sovms.com,07/31/2019,"SURGICARE SURGICAL ASSOCIATES OF WAYNE, L.L.C.",246 HAMBURG TURNPIKE,"WAYNE, NJ  07470",Profit - LLC,Ms. LAUREN MAGNIFICO,,,POINT (-74.20547624299996 40.94627895700006)
NJ317054,HOME HEALTH AGENCY,22410,ATLANTIC HOME CARE & HOSPICE,"465 SOUTH STREET, SUITE 100",,MORRISTOWN,NJ,07960,MORRIS,(973) 379-8400,(973) 379-8484,anna.pence@atlantichealth.org,12/31/2021,AHS HOSPITAL CORP.,475 SOUTH STREET,"MORRISTOWN, NJ  07960",Non-Profit - Hospital,Ms. MARY PRADILLA,,,POINT (-74.46900996099998 40.77434601300007)
NJ1211,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1211,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - EHS,"181 SOMERSET STREET, SUITE 300",,NEW BRUNSWICK,NJ,08903,MIDDLESEX,(732) 937-8714,(732) 418-8196,maureen.bueno@rwjbh.org,03/31/2022,"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL, INC.",ONE ROBERT WOOD JOHNSON PLACE,"NEW BRUNSWICK, NJ  08901",Non-Profit - Hospital,. WILLIAM ARNOLD,,,POINT (-74.45162103299998 40.495673004000025)
NJ31C0001075,AMBULATORY SURGICAL CENTER,R24780,"GASTROENTEROLOGY DIAGNOSTICS OF NORTHERN NJ, PA",205 BROWERTOWN ROAD  -  SUITE 102,,WOODLAND PARK,NJ,07424,PASSAIC,(973) 890-4780,(973) 890-1097,drmike59@aol.com,08/31/2021,GASTROENTEROLOGY DIAGNOSTICS OF NORTHERN NJ PA,"205 BROWERTOWN ROAD, SUITE 102","WOODLAND PARK, NJ  07424",Profit - Corporation,Ms. ANN KALAFSKY,R.N.,,POINT (-74.20441800499998 40.88836998700003)
NJR24706,SURGICAL PRACTICE,R24706,DR MICHAEL ROSEN MD PC,1114 HOOPER AVENUE,,TOMS RIVER,NJ,08753,OCEAN,(732) 240-6396,(732) 240-3074,devonmadeo@live.com,09/30/2021,"MICHAEL ROSEN, M.D., P.C.",1114 HOOPER AVENUE,"TOMS RIVER, NJ  08753",Profit - Corporation,Dr. MICHAEL ROSEN,,,POINT (-74.18423304099997 39.973751004000064)
NJR24612,SURGICAL PRACTICE,R24612,"SOMERSET SURGICAL SERVICES, LLC",81 VERONICA AVENUE,,SOMERSET,NJ,08873,SOMERSET,(973) 871-1229,(973) 871-1226,ccetnar@ivirma.com,06/30/2021,"SOMERSET SURGICAL SERVICES, LLC",81 VERONICA AVENUE,"SOMERSET, NJ  08873",,Dr. RAGUI SADEK,,,POINT (-74.49306996299998 40.474707014000046)
NJ1059,END STAGE RENAL DIALYSIS,24616,FAIR LAWN DIALYSIS,18-01 POLLITT DRIVE,,FAIRLAWN,NJ,07410,BERGEN,(201) 796-3873,(201) 703-3543,enea.mucka@davita.com,10/31/2021,"TOTAL RENAL CARE, INC.",2000 16TH STREET,"DENVER, CO  80202",Profit - Corporation,. SHARLEEN VILLACIN,,,POINT (-74.12774999399994 40.94556000600005)
NJ24968,AMBULATORY SURGICAL CENTER,24948,PHILLIPSBURG AMBULATORY SURGERY CENTER,212 RED SCHOOL LANE,,PHILLIPSBURG,NJ,08865,WARREN,(908) 777-5359,,chrichak@coordinatedhealth.com,11/30/2021,"CH AMBULATORY SURGERY CENTER OF LOPATCONG, LLC",212 RED SCHOOL LANE,"PHILLIPSBURG, NJ  08865",,Ms. CARISSA HRICHAK,,,POINT (-75.16619797599998 40.702139018000025)
NJ22567,END STAGE RENAL DIALYSIS,22567,BURLINGTON NORTH DIALYSIS,1164 ROUTE 130 NORTH,,BURLINGTON,NJ,08016,BURLINGTON,(609) 747-9840,(609) 747-9846,janet.kirby@davita.com,03/31/2022,"DVA RENAL HEALTHCARE, INC.",2000 16TH STREET,"DENVER, CO  80202",Profit - Corporation,. JANET KIRBY,,,POINT (-74.83825626899994 40.082669880000026)
NJ31C0001073,SURGICAL PRACTICE,R24594,SOUTH JERSEY SURGICENTER,2835 SOUTH DELSEA DRIVE,,VINELAND,NJ,08360,CUMBERLAND,(856) 696-0020,(856) 205-0300,PCHANZA.SJS@GMAIL.COM,08/31/2021,SOUTH JERSEY SURGICENTER,2835 SO DELSEA DRIVE,"VINELAND, NJ  08360",Profit - Corporation,Ms. PRISCILLA CHANZA,,,POINT (-75.04126595999998 39.44551701200004)
